"","newcode","venue","period","score.diff.cat","strength.cat","season","Date","gcode","combocode","p1","p2","p3","p4","p5","ID.1","ID.2","ID.3","ID.4","ID.5","POS.1","POS.2","POS.3","POS.4","POS.5","NAME.1","NAME.2","NAME.3","NAME.4","NAME.5","TOI","p1G","p1A","p1A2","p1A3","p1A4","p1A5","p2G","p2A","p2A1","p2A3","p2A4","p2A5","p3G","p3A","p3A1","p3A2","p3A4","p3A5","p4G","p4A","p4A1","p4A2","p4A3","p4A5","p5G","p5A","p5A1","p5A2","p5A3","p5A4","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","HSCF","HSCA","OZS","NZS","DZS","team","TCF","TCA","TFF","TFA","TGF","TGA","TSCF","TSCA","THSCF","THSCA"
"963","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.46568936724545e+33,"soderca85","charazd77","trotmza90",NA,NA,4679,782,5065,20000,20000,"C","D","D",NA,NA,"CARL SODERBERG","ZDENO CHARA","ZACH TROTMAN",NA,NA,0.425,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"964","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.23473473933388e+33,"campbgr83","charazd77","trotmza90",NA,NA,706,782,5065,20000,20000,"CL","D","D",NA,NA,"GREGORY CAMPBELL","ZDENO CHARA","ZACH TROTMAN",NA,NA,0.425,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"965","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",6.41082869178805e+32,"bergepa85","marchbr88","erikslo85",NA,NA,332,3073,1344,20000,20000,"C","L","RL",NA,NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON",NA,NA,0.525,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"966","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.42239736799779e+34,"bergepa85","seidede81",NA,NA,NA,332,4469,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","DENNIS SEIDENBERG",NA,NA,NA,0.4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"967","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.14920036862423e+34,"campbgr83","charazd77",NA,NA,NA,706,782,20000,20000,20000,"CL","D",NA,NA,NA,"GREGORY CAMPBELL","ZDENO CHARA",NA,NA,NA,0.425,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"968","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.57279223599667e+34,"charazd77","trotmza90",NA,NA,NA,782,5065,20000,20000,20000,"D","D",NA,NA,NA,"ZDENO CHARA","ZACH TROTMAN",NA,NA,NA,0.95,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"969","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.38727284864269e+33,"pastrda96","charazd77","trotmza90",NA,NA,3783,782,5065,20000,20000,"RL","D","D",NA,NA,"DAVID PASTRNAK","ZDENO CHARA","ZACH TROTMAN",NA,NA,0.425,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"970","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.81364522234851e+29,"kellych80","smithre91","bartkma88","mcquaad86",NA,2396,4652,241,3250,20000,"LC","RL","D","D",NA,"CHRIS KELLY","REILLY SMITH","MATT BARTKOWSKI","ADAM MCQUAID",NA,0.866666666666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"971","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",2.32187678899706e+29,"campbgr83","soderca85","pastrda96","charazd77",NA,706,4679,3783,782,20000,"CL","C","RL","D",NA,"GREGORY CAMPBELL","CARL SODERBERG","DAVID PASTRNAK","ZDENO CHARA",NA,0.425,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"972","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",2.32187678889528e+29,"campbgr83","soderca85","pastrda96","charazd77","trotmza90",706,4679,3783,782,5065,"CL","C","RL","D","D","GREGORY CAMPBELL","CARL SODERBERG","DAVID PASTRNAK","ZDENO CHARA","ZACH TROTMAN",0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
