,newcode,venue,score.diff.cat,strength.cat,season,Date,gcode,combocode,p1,p2,p3,p4,p5,ID.1,ID.2,ID.3,ID.4,ID.5,POS.1,POS.2,POS.3,POS.4,POS.5,NAME.1,NAME.2,NAME.3,NAME.4,NAME.5,TOI,p1G,p1A,p1A2,p1A3,p1A4,p1A5,p2G,p2A,p2A1,p2A3,p2A4,p2A5,p3G,p3A,p3A1,p3A2,p3A4,p3A5,p4G,p4A,p4A1,p4A2,p4A3,p4A5,p5G,p5A,p5A1,p5A2,p5A3,p5A4,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HSCF,HSCA,OZS,NZS,DZS,team,TCF,TCA,TFF,TFA,TGF,TGA,TSCF,TSCA,THSCF,THSCA,CF60,CA60,CF.OFF,CA.OFF,CF.,CF..OFF,CF.REL,FF60,FA60,FF.OFF,FA.OFF,FF.,FF..OFF,FF.REL,GF60,GA60,GF.OFF,GA.OFF,GF.,GF..OFF,GF.REL,SCF60,SCA60,SCF.OFF,SCA.OFF,SCF.,SCF..OFF,SCF.REL,HSCF60,HSCA60,HSCF.OFF,HSCA.OFF,HSCF.,HSCF..OFF,HSCF.REL,OZS.,SH.,SV.
11,20142015.21,away,3,5v5,20142015,11-04-07,21201,7.44E+32,marchbr88,charazd77,mcquaad86,NA,NA,3073,782,3250,20000,20000,L,D,D,NA,NA,BRAD MARCHAND,ZDENO CHARA,ADAM MCQUAID,NA,NA,0.333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
12,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.10E+33,spoonry92,connobr92,bartkma88,NA,NA,4718,895,241,20000,20000,CL,R,D,NA,NA,RYAN SPOONER,BRETT CONNOLLY,MATT BARTKOWSKI,NA,NA,0.341666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,175.6097561,0,7,6,1,0.538461538,0.461538462,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,NA,NA
13,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.15E+33,kellych80,soderca85,connobr92,NA,NA,2396,4679,895,20000,20000,LC,C,R,NA,NA,CHRIS KELLY,CARL SODERBERG,BRETT CONNOLLY,NA,NA,0.258333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,232.2580645,0,7,6,1,0.538461538,0.461538462,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
14,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.16E+33,soderca85,charazd77,krugxto91,NA,NA,4679,782,2594,20000,20000,C,D,D,NA,NA,CARL SODERBERG,ZDENO CHARA,TOREY KRUG,NA,NA,0.15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,400,0,7,6,1,0.538461538,0.461538462,400,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,0,NA
15,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.66E+34,krejcda86,pastrda96,NA,NA,NA,2579,3783,20000,20000,20000,C,RL,NA,NA,NA,DAVID KREJCI,DAVID PASTRNAK,NA,NA,NA,1.55,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,0,1,1,1,0,0,0,0,1,BOS,8,6,4,3,0,1,4,1,0,0,38.70967742,193.5483871,7,1,0.166666667,0.875,-0.708333333,38.70967742,77.41935484,3,1,0.333333333,0.75,-0.416666667,0,38.70967742,0,0,0,NA,NA,38.70967742,38.70967742,3,0,0.5,1,-0.5,0,0,0,0,NA,NA,NA,0,0,0
16,20142015.21,away,3,5v5,20142015,11-04-07,21201,6.33E+34,soderca85,smithre91,NA,NA,NA,4679,4652,20000,20000,20000,C,RL,NA,NA,NA,CARL SODERBERG,REILLY SMITH,NA,NA,NA,0.791666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,75.78947368,0,7,6,1,0.538461538,0.461538462,75.78947368,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,0,NA
17,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.40E+29,krejcda86,pastrda96,lucicmi88,krugxto91,mcquaad86,2579,3783,2937,2594,3250,C,RL,L,D,D,DAVID KREJCI,DAVID PASTRNAK,MILAN LUCIC,TOREY KRUG,ADAM MCQUAID,0.691666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,173.4939759,8,4,0,0.666666667,-0.666666667,0,173.4939759,4,1,0,0.8,-0.8,0,86.74698795,0,0,0,NA,NA,0,86.74698795,4,0,0,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0
18,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.33E+34,charazd77,mcquaad86,NA,NA,NA,782,3250,20000,20000,20000,D,D,NA,NA,NA,ZDENO CHARA,ADAM MCQUAID,NA,NA,NA,1.716666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,1,0,1,BOS,8,6,4,3,0,1,4,1,0,0,34.95145631,104.8543689,7,3,0.25,0.7,-0.45,34.95145631,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,34.95145631,0,3,1,1,0.75,0.25,0,0,0,0,NA,NA,NA,0.5,0,NA
19,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.37E+29,campbgr83,soderca85,smithre91,charazd77,mcquaad86,706,4679,4652,782,3250,CL,C,RL,D,D,GREGORY CAMPBELL,CARL SODERBERG,REILLY SMITH,ZDENO CHARA,ADAM MCQUAID,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,NA,NA
20,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.40E+29,campbgr83,soderca85,charazd77,mcquaad86,NA,706,4679,782,3250,20000,CL,C,D,D,NA,GREGORY CAMPBELL,CARL SODERBERG,ZDENO CHARA,ADAM MCQUAID,NA,0.525,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,NA,NA
21,20142015.21,away,3,5v5,20142015,11-04-07,21201,2.75E+30,soderca85,smithre91,seidede81,krugxto91,NA,4679,4652,4469,2594,20000,C,RL,D,D,NA,CARL SODERBERG,REILLY SMITH,DENNIS SEIDENBERG,TOREY KRUG,NA,0.116666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
22,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.50E+33,soderca85,smithre91,krugxto91,NA,NA,4679,4652,2594,20000,20000,C,RL,D,NA,NA,CARL SODERBERG,REILLY SMITH,TOREY KRUG,NA,NA,0.266666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,225,0,7,6,1,0.538461538,0.461538462,225,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,0,NA
23,20142015.21,away,3,5v5,20142015,11-04-07,21201,9.86E+32,krejcda86,pastrda96,lucicmi88,NA,NA,2579,3783,2937,20000,20000,C,RL,L,NA,NA,DAVID KREJCI,DAVID PASTRNAK,MILAN LUCIC,NA,NA,1.55,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,0,1,1,1,0,0,0,0,1,BOS,8,6,4,3,0,1,4,1,0,0,38.70967742,193.5483871,7,1,0.166666667,0.875,-0.708333333,38.70967742,77.41935484,3,1,0.333333333,0.75,-0.416666667,0,38.70967742,0,0,0,NA,NA,38.70967742,38.70967742,3,0,0.5,1,-0.5,0,0,0,0,NA,NA,NA,0,0,0
24,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.01E+33,pastrda96,krugxto91,mcquaad86,NA,NA,3783,2594,3250,20000,20000,RL,D,D,NA,NA,DAVID PASTRNAK,TOREY KRUG,ADAM MCQUAID,NA,NA,0.691666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,173.4939759,8,4,0,0.666666667,-0.666666667,0,173.4939759,4,1,0,0.8,-0.8,0,86.74698795,0,0,0,NA,NA,0,86.74698795,4,0,0,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0
25,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.15E+33,smithre91,charazd77,krugxto91,NA,NA,4652,782,2594,20000,20000,RL,D,D,NA,NA,REILLY SMITH,ZDENO CHARA,TOREY KRUG,NA,NA,0.15,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,400,0,7,6,1,0.538461538,0.461538462,400,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,0,NA
26,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.18E+34,erikslo85,charazd77,NA,NA,NA,1344,782,20000,20000,20000,RL,D,NA,NA,NA,LOUI ERIKSSON,ZDENO CHARA,NA,NA,NA,1.166666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,102.8571429,0,6,6,1,0.5,0.5,51.42857143,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,51.42857143,0,3,1,1,0.75,0.25,0,0,0,0,NA,NA,NA,NA,0,NA
27,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.15E+34,campbgr83,charazd77,NA,NA,NA,706,782,20000,20000,20000,CL,D,NA,NA,NA,GREGORY CAMPBELL,ZDENO CHARA,NA,NA,NA,0.675,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,88.88888889,0,7,6,1,0.538461538,0.461538462,88.88888889,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,0,NA
28,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.57E+34,krugxto91,mcquaad86,NA,NA,NA,2594,3250,20000,20000,20000,D,D,NA,NA,NA,TOREY KRUG,ADAM MCQUAID,NA,NA,NA,0.691666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,173.4939759,8,4,0,0.666666667,-0.666666667,0,173.4939759,4,1,0,0.8,-0.8,0,86.74698795,0,0,0,NA,NA,0,86.74698795,4,0,0,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0
29,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.49E+34,bartkma88,trotmza90,NA,NA,NA,241,5065,20000,20000,20000,D,D,NA,NA,NA,MATT BARTKOWSKI,ZACH TROTMAN,NA,NA,NA,0.341666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,175.6097561,0,7,6,1,0.538461538,0.461538462,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,NA,NA
